GEOID00BG,GEOID20BG,WEIGHT
100030001001,100030016001,1.0
100030001001,100030028001,1.0
100030001001,100030028002,1.0
100030002001,100030002001,1.0
100030002002,100030002002,1.0
100030002003,100030002003,1.0
100030002003,100030108003,1.0
100030002004,100030002004,1.0
100030002005,100030002005,1.0
100030002006,100030002006,1.0
100030003001,100030002006,1.0
100030003001,100030003003,1.0
100030003002,100030003003,1.0
100030003003,100030003001,1.0
100030003004,100030003002,1.0
100030004001,100030004001,1.0
100030004002,100030004002,1.0
100030004003,100030004003,1.0
100030004003,100030117003,1.0
100030005001,100030005001,1.0
100030005002,100030005002,1.0
100030005003,100030005003,1.0
100030005004,100030005004,1.0
100030006011,100030006011,1.0
100030006011,100030107041,1.0
100030006012,100030006012,1.0
100030006013,100030006013,1.0
100030006021,100030006021,1.0
100030006022,100030006022,1.0
100030006023,100030006023,1.0
100030007001,100030006011,1.0
100030007001,100030030022,1.0
100030007001,100030107041,1.0
100030007002,100030030022,1.0
100030008001,100030030021,1.0
100030009001,100030009001,1.0
100030009002,100030009002,1.0
100030009002,100030009003,1.0
100030009003,100030009003,1.0
100030010001,100030011002,1.0
100030010001,100030016001,1.0
100030010001,100030028001,1.0
100030011001,100030011001,1.0
100030011001,100030011003,0.003728168943602
100030011001,100030028001,1.0
100030011002,100030011002,1.0
100030011003,100030011003,1.0
100030012001,100030012001,1.0
100030012002,100030012002,1.0
100030013001,100030013001,1.0
100030013002,100030013002,1.0
100030013003,100030013003,1.0
100030013003,100030013004,0.0026036691039754
100030013004,100030013004,1.0
100030014001,100030011003,0.7230769230769231
100030014001,100030012002,1.0
100030014001,100030013003,0.0
100030014001,100030014001,1.0
100030014002,100030014002,1.0
100030015001,100030015001,1.0
100030015001,100030015002,1.0
100030015001,100030016001,0.0828894806924101
100030015001,100030016003,1.0
100030016001,100030015001,1.0
100030016001,100030016001,1.0
100030016002,100030016002,1.0
100030016003,100030016003,1.0
100030017001,100030029001,1.0
100030017003,100030029003,1.0
100030017004,100030029004,1.0
100030018001,100030029001,1.0
100030018001,100030030022,0.4951923076923077
100030018001,100030107041,1.0
100030018001,100030107042,1.0
100030018001,100039801001,1.0
100030018001,100039901000,0.10737127456287425
100030019001,100030019021,1.0
100030019001,100030155021,0.7017280288003466
100030019001,100039901000,1.0
100030019002,100030019022,1.0
100030020001,100030029002,1.0
100030021001,100030021001,1.0
100030021002,100030021002,1.0
100030022001,100030022001,1.0
100030022002,100030022002,1.0
100030022003,100030022003,1.0
100030022004,100030022001,0.7813724707257166
