STATEFP,COUNTYFP,STATECOUNTYFP,TRACTCE,BLKGRPCE,ALAND,AWATER,geo_id,B01003e1,B19013e1,B19301e1,B23025e3,B23025e5,B25001e1,B25002e3,B25058e1,B25064e1,B25071e1,B25077e1
10,3,10003,602,2,310250,20127,15000US100030006022,673,20000,9562,207,71,332,76,674,865,50,89700
10,3,10003,602,3,186224,11321,15000US100030006023,1200,47768,18009,441,98,495,122,833,1190,30.3,89900
10,3,10003,3002,2,237035,0,15000US100030030022,643,23375,7113,275,116,217,46,99,335,29.4,79000
10,3,10003,3002,3,593846,56729,15000US100030030023,1920,33177,9369,340,62,323,0,590,1039,36.9,156400
10,3,10003,900,3,149358,12367,15000US100030009003,583,41176,21088,319,87,322,82,660,795,30.7,96100
10,3,10003,900,1,179424,36384,15000US100030009001,530,15038,9524,194,54,312,83,752,1031,50,57800
10,3,10003,900,2,70574,0,15000US100030009002,883,39423,14504,355,43,378,74,761,1042,37.6,153400
10,3,10003,2800,2,362079,21392,15000US100030028002,629,105134,62482,541,20,360,9,636,686,28.8,300400
10,3,10003,1100,1,298135,12917,15000US100030011001,1161,64973,47588,849,30,805,83,1059,1076,22.7,333200
10,3,10003,1100,3,105514,0,15000US100030011003,790,29076,35160,428,22,821,152,702,702,33.8,145300
10,3,10003,15000,4,1092641,0,15000US100030150004,1852,68500,23797,1053,89,721,117,823,967,22.3,219800
10,3,10003,14705,2,2747580,0,15000US100030147052,1812,78068,24703,939,76,576,47,0,,0,219800
10,3,10003,13612,2,1508364,0,15000US100030136122,2085,117800,39365,1098,73,668,0,2001,2001,31.6,360700
10,3,10003,13612,1,2327111,0,15000US100030136121,2513,112391,47907,1348,59,858,36,1152,1402,22.3,435500
10,3,10003,13613,1,2765540,0,15000US100030136131,1213,77619,41494,781,0,538,0,0,,0,357300
10,3,10003,16301,1,4100175,0,15000US100030163011,1596,46344,21377,750,25,786,101,911,1277,41.9,35700
10,3,10003,16305,3,3233540,0,15000US100030163053,1283,42500,23719,641,46,597,83,829,1010,32.1,229900
10,3,10003,13903,2,944895,0,15000US100030139032,1393,101759,39370,911,59,500,0,1192,1442,10,305800
10,3,10003,12700,4,748733,0,15000US100030127004,837,65926,25611,415,67,302,0,0,1101,50,276700
10,3,10003,15900,2,453103,0,15000US100030159002,755,42225,27015,391,51,324,13,0,,0,182000
10,3,10003,1100,2,115288,0,15000US100030011002,1370,50694,41125,758,49,923,88,916,964,27,229300
10,3,10003,1200,2,227964,0,15000US100030012002,786,73663,56859,705,56,525,43,819,989,19.5,272100
10,3,10003,1200,1,186210,0,15000US100030012001,566,43269,43112,324,11,369,61,850,900,27.1,267600
10,3,10003,1300,1,1113179,1623,15000US100030013001,1501,158523,101251,862,14,751,36,1027,1027,32.5,586800
10,3,10003,1300,2,312114,0,15000US100030013002,704,111635,78577,407,0,279,0,0,,0,389700
10,3,10003,1300,4,442136,0,15000US100030013004,861,95417,81709,508,42,579,59,887,887,25.4,311700
10,3,10003,1300,3,415695,0,15000US100030013003,653,139531,81172,361,0,327,0,0,,0,389300
10,3,10003,1400,2,239314,4239,15000US100030014002,870,28899,23772,509,33,524,111,559,639,31.6,175000
10,3,10003,1400,1,244231,0,15000US100030014001,1023,46944,33842,648,32,532,32,472,525,32.8,274600
10,3,10003,1600,3,89961,0,15000US100030016003,650,26500,16166,390,45,292,22,633,778,31.7,180300
10,3,10003,1500,2,189043,0,15000US100030015002,1572,38750,24653,996,84,828,158,638,833,25,152200
10,3,10003,11203,2,490595,0,15000US100030112032,708,119038,47298,412,16,301,69,0,,0,303500
10,3,10003,10101,1,1565398,0,15000US100030101011,771,24500,13225,345,129,378,62,752,974,34.1,153100
10,3,10003,10300,3,567631,0,15000US100030103003,212,78750,35326,103,16,112,27,0,,50,190200
10,3,10003,10104,1,3179041,2863836,15000US100030101041,1886,46019,22659,1090,142,1057,229,785,908,28.6,202700
10,3,10003,14705,3,2474687,0,15000US100030147053,3077,63947,30209,1924,149,1284,6,899,975,30,223100
10,3,10003,15900,3,660672,0,15000US100030159003,1655,69712,24243,922,101,483,23,747,,15.3,209700
10,3,10003,10502,2,458966,0,15000US100030105022,1193,60417,32786,811,52,579,23,630,723,22.5,217000
10,3,10003,13503,1,3237969,0,15000US100030135031,2338,142042,52485,1371,48,797,40,2001,2001,18.8,420300
10,3,10003,12600,3,379459,0,15000US100030126003,815,55568,24321,477,64,374,29,731,781,19.4,230400
10,3,10003,10101,2,715973,0,15000US100030101012,2096,48424,20459,1015,66,847,160,832,917,26.8,218500
10,3,10003,14807,2,8103431,7220,15000US100030148072,4098,97083,35535,2405,30,1340,0,976,1440,28.8,317300
10,3,10003,12400,2,220942,0,15000US100030124002,685,43750,23239,356,32,319,8,606,704,16.5,165000
10,3,10003,12400,3,209222,0,15000US100030124003,1366,38147,16112,676,118,515,34,790,973,34.2,186200
10,3,10003,12400,4,1027611,0,15000US100030124004,1105,51250,20078,531,50,393,0,811,1039,23.6,201400
10,3,10003,16608,2,30655671,3780650,15000US100030166082,2643,101434,35535,1407,94,831,54,884,,41.6,342500
10,3,10003,16602,2,25589097,189008,15000US100030166022,3447,107596,37772,1855,107,1142,31,680,1148,38,385200
10,3,10003,16602,1,25704888,710740,15000US100030166021,2777,99722,33039,1573,49,913,19,0,,0,350000
10,3,10003,16604,3,2611165,0,15000US100030166043,2433,64844,31375,1252,115,884,66,657,819,36.6,265000
10,3,10003,1902,2,1327899,125318,15000US100030019022,1316,18621,34755,608,62,785,109,244,456,28.7,308300
10,3,10003,1600,1,132935,0,15000US100030016001,921,26108,21727,480,77,442,27,565,672,31,225000
10,3,10003,1600,2,96011,0,15000US100030016002,1104,22382,10793,582,80,485,76,691,921,47.9,108100
10,3,10003,2900,3,125615,0,15000US100030029003,1207,9866,9759,392,143,905,74,202,239,28.3,126400
10,3,10003,2900,4,115508,0,15000US100030029004,923,18288,9805,308,70,370,75,198,521,39.8,201700
10,3,10003,2900,1,636199,221505,15000US100030029001,385,17375,8584,91,11,266,123,780,1110,33.2,86900
10,3,10003,2900,2,278694,58689,15000US100030029002,556,27434,13647,250,51,273,62,663,804,28.4,
10,3,10003,2100,2,177887,0,15000US100030021002,946,25663,18016,293,17,550,47,428,479,30.2,149800
10,3,10003,2100,1,121393,0,15000US100030021001,973,22928,9517,411,104,476,165,477,577,36.1,98800
10,3,10003,2200,3,60699,0,15000US100030022003,803,24875,12599,293,17,325,91,712,1152,24,86700
10,3,10003,2200,2,58506,0,15000US100030022002,1177,17240,9668,531,86,334,67,754,1013,48.1,71500
10,3,10003,10300,2,508177,0,15000US100030103002,1426,70043,24906,737,21,578,45,699,997,19.1,177000
10,3,10003,16404,1,27969953,4756006,15000US100030164041,1089,76136,28567,520,17,334,0,0,,0,334800
10,3,10003,15502,2,2226658,336563,15000US100030155022,1195,62208,23880,656,7,376,12,833,1081,16.1,157200
10,3,10003,990100,0,0,123248890,15000US100039901000,0,,,0,0,0,0,0,,0,
10,3,10003,12900,3,2569086,290174,15000US100030129003,1309,48583,23593,822,130,555,48,751,836,33.6,194600
10,3,10003,12300,2,476385,0,15000US100030123002,1418,52330,27096,951,114,623,55,768,939,34.1,198800
10,3,10003,12300,1,616106,0,15000US100030123001,1292,59194,27543,712,47,518,0,744,967,47,201100
10,3,10003,10104,2,450051,0,15000US100030101042,1246,57841,33135,730,22,715,125,793,892,25.5,243800
10,3,10003,10200,2,430817,0,15000US100030102002,1103,74226,27801,604,3,361,0,735,870,18.5,239800
10,3,10003,10200,1,509117,0,15000US100030102001,963,65227,33540,579,29,370,0,444,544,14.4,240400
10,3,10003,10300,1,756396,0,15000US100030103001,1112,71393,29399,577,13,419,0,0,,0,225600
10,3,10003,10400,2,402841,0,15000US100030104002,1219,60607,28778,699,76,467,0,793,1239,32.2,212800
10,3,10003,10400,3,1214538,0,15000US100030104003,1840,74081,33664,1078,41,904,125,952,1016,20.1,249200
10,3,10003,14904,1,2346916,0,15000US100030149041,2202,65135,35308,1477,129,1017,33,957,1083,24.3,262100
