STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,ALAND,AWATER,GEOID_JOIN,STATECOUNTYFP,B01003e1,B19049e1,B19301e1,B23025e3,B23025e5,B25001e1,B25002e2,B25058e1,B25064e1,B25071e1,B25077e1,B25092e1
10,3,11600,1,785069,0,15000US100030116001,10003,1010,102500,49985,525,0,460,460,867,967,50,297400,18.5
10,3,13700,3,2089405,0,15000US100030137003,10003,572,71724,45716,369,15,312,292,,,,229000,18.7
10,3,13505,1,1952533,0,15000US100030135051,10003,893,208000,73050,474,0,290,290,,,,531000,12.9
10,3,16904,2,93018625,7441873,15000US100030169042,10003,1261,60208,28657,573,37,537,517,946,1115,10,235700,21.2
10,3,13614,2,1238796,0,15000US100030136142,10003,2369,50938,23145,1274,1,977,856,877,1139,30.7,176300,23.5
10,3,13612,2,1508364,0,15000US100030136122,10003,1919,111882,42779,1135,68,687,644,2001,2001,30.5,351300,16.4
10,3,13612,1,2327111,0,15000US100030136121,10003,2495,124116,47499,1303,72,802,781,1331,,21.6,468500,19.6
10,3,13613,1,2765540,0,15000US100030136131,10003,1202,86184,47357,765,0,556,556,,,,359800,17.9
10,3,11100,1,848505,0,15000US100030111001,10003,686,68750,49159,451,27,342,333,917,988,34.6,326300,17.5
10,3,10400,4,352934,0,15000US100030104004,10003,764,82266,41171,413,37,327,327,,,10,244900,17.4
10,3,12500,2,452607,0,15000US100030125002,10003,1049,44457,17999,484,47,393,352,850,1089,50,205400,23
10,3,12900,1,1623902,65774,15000US100030129001,10003,2133,27248,11480,913,109,845,663,652,861,38.2,163900,17.5
10,3,12500,1,303005,0,15000US100030125001,10003,923,44398,24240,519,0,430,419,744,872,24.2,165800,26.6
10,3,16301,2,2835273,0,15000US100030163012,10003,3011,75707,30617,1672,138,1234,1127,1179,1372,24.9,254100,22.9
10,3,10502,1,1165163,0,15000US100030105021,10003,791,94196,47794,486,20,345,345,,,,298800,14.9
10,3,15200,2,388332,0,15000US100030152002,10003,940,48684,17835,498,64,332,332,,1681,23.2,166400,28.4
10,3,13501,4,11590309,6625,15000US100030135014,10003,2488,111950,83206,1154,68,1156,1156,1213,1360,23.6,413900,16.8
10,3,13501,1,3251729,4925,15000US100030135011,10003,1303,152813,51335,644,17,435,423,,,,468900,16.4
10,3,200,2,336505,0,15000US100030002002,10003,1023,100448,34947,565,33,421,421,,,,171400,19.1
10,3,200,4,218319,0,15000US100030002004,10003,621,78571,23716,358,0,240,200,,,,184900,22.6
10,3,200,6,250033,0,15000US100030002006,10003,1320,51139,19077,695,0,592,554,776,896,37.5,146500,24.6
10,3,200,5,241706,0,15000US100030002005,10003,580,35938,14466,263,89,402,234,,1222,34.4,147400,35.9
10,3,300,2,121973,0,15000US100030003002,10003,628,60417,31633,435,52,331,291,693,986,46.2,203300,20
10,3,13700,2,622641,0,15000US100030137002,10003,2136,37917,19351,1125,118,930,739,758,889,30.3,243400,14.5
10,3,13610,4,1047405,0,15000US100030136104,10003,499,84764,43054,257,0,269,241,2001,2001,,278400,17.5
10,3,13614,1,667049,0,15000US100030136141,10003,1007,107917,38347,572,0,365,365,,,,235000,12.6
10,3,1500,1,198861,23880,15000US100030015001,10003,735,21563,28842,274,40,432,388,947,975,50,242000,30.2
10,3,10502,3,447526,0,15000US100030105023,10003,853,75000,36833,376,14,335,320,,,,268900,20.4
10,3,14705,3,2474687,0,15000US100030147053,10003,2702,63455,32823,1803,148,1214,1209,887,997,41.1,218500,22.5
10,3,15900,3,660672,0,15000US100030159003,10003,1422,68260,22274,716,135,443,423,906,1264,14.7,202900,31.5
10,3,10702,3,2045565,25221,15000US100030107023,10003,2186,57830,37767,1408,71,1326,1108,929,1038,31.5,168800,23.3
10,3,10702,1,411759,0,15000US100030107021,10003,1177,41250,21109,437,38,550,423,854,929,22.3,171200,20
10,3,10702,4,384513,0,15000US100030107024,10003,627,58224,26726,381,32,267,267,1335,1670,50,231900,30.1
10,3,16301,1,4100175,0,15000US100030163011,10003,2004,48977,23633,1086,52,870,803,1027,1404,40.1,38000,28.8
10,3,16305,3,3233540,0,15000US100030163053,10003,1193,51875,24221,582,37,531,447,833,1007,30.2,236700,19.6
10,3,13501,3,2181818,0,15000US100030135013,10003,1815,121111,43968,992,58,600,600,,,,370500,17.6
10,3,13501,2,2376470,0,15000US100030135012,10003,810,60962,29016,295,13,262,262,,,,243200,22.3
10,3,13503,2,2869522,10874,15000US100030135032,10003,1701,84476,42027,820,12,720,684,1399,1798,10,320600,20.8
10,3,13503,3,2963970,0,15000US100030135033,10003,1853,112337,53292,894,14,623,623,1390,1780,50,449400,16.9
10,3,300,4,114521,0,15000US100030003004,10003,1556,40227,15659,691,129,528,496,732,1098,41.3,117900,30.4
10,3,300,3,98105,0,15000US100030003003,10003,533,43021,19698,329,47,249,197,99,247,14.7,139900,31.6
10,3,300,1,150366,0,15000US100030003001,10003,507,54063,29564,243,9,270,223,905,1174,28.8,191700,21
10,3,400,2,180559,0,15000US100030004002,10003,1058,26250,20445,546,86,593,535,722,958,33.8,183600,18.1
10,3,400,3,539632,26392,15000US100030004003,10003,703,61806,62612,428,0,464,437,430,430,26.9,276600,20.7
10,3,13615,1,1167582,0,15000US100030136151,10003,1550,54536,39343,956,43,929,809,1253,1298,50,179100,20.9
10,3,13615,2,432509,0,15000US100030136152,10003,572,55147,34409,310,0,252,252,,,,246700,39.6
10,3,14809,3,2412966,0,15000US100030148093,10003,967,91442,39053,586,4,407,407,,,,344800,26.2
10,3,14808,4,627003,0,15000US100030148084,10003,429,95813,41292,285,19,260,173,,,,231400,26.1
10,3,10502,2,458966,0,15000US100030105022,10003,1360,68000,34678,922,60,623,610,673,779,21.4,216600,19.2
10,3,13503,1,3237969,0,15000US100030135031,10003,2519,139583,51782,1505,43,820,809,2001,2001,18.6,411600,16.9
